spindle_speed_rpm,depth_of_cut_mm,feed_rate_mm_per_tooth,vibration_rms,cutting_force_N,label_chatter
7672.51,3.0,0.1485,2.075,64.61,1
4617.08,0.576,0.1162,0.88,65.32,0
6555.06,3.099,0.0817,1.734,104.09,1
1556.96,0.204,0.0281,0.146,66.37,0
2609.9,0.382,0.0615,0.859,18.34,0
7262.08,3.789,0.196,2.276,103.15,1
3646.08,2.162,0.1299,1.323,81.49,1
5509.56,1.967,0.1069,0.067,53.21,0
1971.11,1.434,0.0975,0.754,57.27,0
3264.7,4.977,0.1533,1.344,94.0,1
2960.59,0.741,0.0669,0.76,16.29,0
1146.6,0.149,0.0624,0.349,18.34,0
5283.56,4.837,0.1199,2.598,109.43,1
5625.66,0.905,0.0889,0.6,45.07,0
3699.76,2.353,0.1313,1.981,88.27,1
5064.59,3.313,0.1635,1.509,97.53,1
6201.64,4.676,0.1032,1.678,118.17,1
1460.52,2.23,0.0137,0.814,32.79,0
6522.53,4.143,0.1121,2.21,99.89,1
4365.21,2.948,0.1971,1.843,113.62,1
6166.23,3.17,0.1659,1.27,98.62,1
3156.06,4.341,0.1751,2.94,89.12,1
4443.07,2.811,0.1085,2.135,63.77,1
4341.57,3.165,0.1742,1.878,106.81,1
3783.93,0.994,0.0813,0.119,54.29,0
3037.76,4.844,0.1157,1.273,95.81,1
3664.48,2.815,0.113,2.824,95.87,1
3593.58,1.0,0.0787,0.699,67.28,0
4333.12,2.402,0.0878,0.74,44.4,0
7465.24,4.846,0.1471,2.263,66.02,1
3672.4,2.759,0.1648,1.846,87.14,1
4373.34,2.374,0.1525,1.752,111.22,1
6061.89,3.015,0.1088,2.021,116.12,1
5107.52,2.058,0.0649,0.41,16.03,0
2134.26,1.817,0.1037,0.288,27.33,0
5683.48,4.211,0.1252,2.692,106.92,1
6774.32,3.17,0.1019,1.603,62.91,1
1478.56,0.108,0.0586,0.121,15.04,0
1245.49,2.319,0.033,0.592,68.64,0
4373.45,1.105,0.068,0.872,52.39,0
3541.69,2.846,0.1046,2.636,65.07,1
4812.74,1.623,0.0234,0.547,41.0,0
4392.25,2.345,0.1202,2.528,114.68,1
5039.69,0.544,0.1138,0.338,19.85,0
3468.43,1.965,0.0165,0.095,20.26,0
1794.8,2.157,0.1044,0.665,25.04,0
4482.35,0.6,0.0334,0.259,14.91,0
4645.25,0.262,0.1043,0.581,30.62,0
6539.65,2.357,0.0815,1.859,77.86,1
4622.28,0.114,0.1192,0.242,47.07,0
4136.24,2.326,0.0413,0.781,10.92,0
2007.0,0.733,0.0629,0.413,16.0,0
1805.35,2.389,0.039,0.661,33.13,0
7023.5,4.597,0.1974,1.654,108.8,1
4341.92,0.773,0.0952,0.349,67.71,0
2520.6,2.2,0.0999,0.518,12.65,0
4543.49,0.623,0.0599,0.376,15.36,0
3657.76,0.821,0.0537,0.225,10.67,0
4846.99,2.364,0.1067,0.895,45.59,0
1765.35,0.164,0.1038,0.404,69.51,0
6321.96,3.925,0.1629,1.219,71.21,1
5065.78,3.05,0.1048,2.287,96.68,1
5590.1,4.604,0.1642,1.4,105.44,1
6641.6,4.548,0.0844,1.148,111.19,1
4477.65,2.308,0.1152,0.83,62.11,0
3509.18,2.4,0.0838,0.407,24.14,0
3994.72,2.963,0.0911,2.64,74.78,1
3415.17,2.099,0.0791,0.513,64.13,0
3697.52,2.045,0.0377,0.861,22.92,0
7863.17,3.585,0.1875,1.993,102.81,1
6950.31,2.226,0.1104,2.102,93.65,1
3401.43,4.172,0.1939,2.757,102.04,1
7043.79,4.936,0.1734,1.95,102.59,1
7302.72,4.463,0.0996,1.745,87.87,1
3618.2,2.546,0.1408,2.299,107.02,1
4109.72,2.903,0.1995,1.312,107.03,1
4214.41,4.536,0.089,2.867,116.4,1
3862.28,1.301,0.0641,0.362,11.95,0
7488.83,2.935,0.147,1.825,83.77,1
6882.55,4.014,0.119,1.987,90.34,1
